id,open,high,low,close,volume,adj_close,company,exchange,date
0,171.34,173.78,171.09,173.07,80355000.0,173.07,AAPL,XNAS,2022-01-14
1,175.78,176.62,171.79,172.19,81572060.0,172.19,AAPL,XNAS,2022-01-13
2,176.12,177.179,174.821,175.53,70577429.0,175.53,AAPL,XNAS,2022-01-12
3,172.32,175.18,170.82,175.08,76015600.0,175.08,AAPL,XNAS,2022-01-11
4,169.08,172.5,168.17,172.19,106606900.0,172.19,AAPL,XNAS,2022-01-10
5,172.89,174.14,171.03,172.17,86580100.0,172.17,AAPL,XNAS,2022-01-07
6,172.7,175.3,171.64,172.0,96751000.0,172.0,AAPL,XNAS,2022-01-06
7,179.61,180.17,174.64,174.92,94218700.0,174.92,AAPL,XNAS,2022-01-05
8,182.63,182.9,179.12,179.7,99310448.0,179.7,AAPL,XNAS,2022-01-04
9,177.83,182.88,177.71,182.01,104487900.0,182.01,AAPL,XNAS,2022-01-03
10,178.085,179.23,177.26,177.57,64062262.0,177.57,AAPL,XNAS,2021-12-31
11,179.47,180.57,178.09,178.2,59619100.0,178.2,AAPL,XNAS,2021-12-30
12,179.33,180.63,178.14,179.38,62231200.0,179.38,AAPL,XNAS,2021-12-29
13,180.16,181.33,178.53,179.29,76421728.0,179.29,AAPL,XNAS,2021-12-28
14,177.085,180.42,177.07,180.33,73006629.0,180.33,AAPL,XNAS,2021-12-27
15,175.85,176.85,175.27,176.28,68227500.0,176.28,AAPL,XNAS,2021-12-23
16,173.04,175.86,172.15,175.64,92004100.0,175.64,AAPL,XNAS,2021-12-22
17,171.56,173.2,169.12,172.99,85845000.0,172.99,AAPL,XNAS,2021-12-21
18,168.28,170.58,167.46,169.75,107313400.0,169.75,AAPL,XNAS,2021-12-20
19,169.93,173.47,169.69,171.14,195432700.0,171.14,AAPL,XNAS,2021-12-17
20,179.28,181.14,170.75,172.26,149964200.0,172.26,AAPL,XNAS,2021-12-16
21,175.11,179.5,172.31,179.3,130687600.0,179.3,AAPL,XNAS,2021-12-15
22,175.25,177.74,172.21,174.33,139285700.0,174.33,AAPL,XNAS,2021-12-14
23,181.115,182.09,175.53,175.74,151103753.0,175.74,AAPL,XNAS,2021-12-13
24,175.205,179.63,174.69,179.45,110986702.0,179.45,AAPL,XNAS,2021-12-10
25,174.91,176.75,173.92,174.56,107976382.0,174.56,AAPL,XNAS,2021-12-09
