id,date,high,company
0,2022-01-14 00:00:00+00:00,173.78,AAPL
1,2022-01-13 00:00:00+00:00,176.62,AAPL
2,2022-01-12 00:00:00+00:00,177.179,AAPL
3,2022-01-11 00:00:00+00:00,175.18,AAPL
4,2022-01-10 00:00:00+00:00,172.5,AAPL
5,2022-01-07 00:00:00+00:00,174.14,AAPL
6,2022-01-06 00:00:00+00:00,175.3,AAPL
7,2022-01-05 00:00:00+00:00,180.17,AAPL
8,2022-01-04 00:00:00+00:00,182.9,AAPL
9,2022-01-03 00:00:00+00:00,182.88,AAPL
10,2021-12-31 00:00:00+00:00,179.23,AAPL
11,2021-12-30 00:00:00+00:00,180.57,AAPL
12,2021-12-29 00:00:00+00:00,180.63,AAPL
13,2021-12-28 00:00:00+00:00,181.33,AAPL
14,2021-12-27 00:00:00+00:00,180.42,AAPL
15,2021-12-23 00:00:00+00:00,176.85,AAPL
16,2021-12-22 00:00:00+00:00,175.86,AAPL
17,2021-12-21 00:00:00+00:00,173.2,AAPL
18,2021-12-20 00:00:00+00:00,170.58,AAPL
19,2021-12-17 00:00:00+00:00,173.47,AAPL
20,2021-12-16 00:00:00+00:00,181.14,AAPL
21,2021-12-15 00:00:00+00:00,179.5,AAPL
22,2021-12-14 00:00:00+00:00,177.74,AAPL
23,2021-12-13 00:00:00+00:00,182.09,AAPL
24,2021-12-10 00:00:00+00:00,179.63,AAPL
25,2021-12-09 00:00:00+00:00,176.75,AAPL
26,2021-12-08 00:00:00+00:00,175.95,AAPL
27,2021-12-07 00:00:00+00:00,171.58,AAPL
28,2021-12-06 00:00:00+00:00,167.8799,AAPL
29,2021-12-03 00:00:00+00:00,164.96,AAPL
30,2021-12-02 00:00:00+00:00,164.2,AAPL
31,2021-12-01 00:00:00+00:00,170.295,AAPL
32,2021-11-30 00:00:00+00:00,165.52,AAPL
33,2021-11-29 00:00:00+00:00,161.19,AAPL
34,2021-11-26 00:00:00+00:00,160.45,AAPL
35,2021-11-24 00:00:00+00:00,162.14,AAPL
36,2021-11-23 00:00:00+00:00,161.8,AAPL
37,2021-11-22 00:00:00+00:00,165.7,AAPL
38,2021-11-19 00:00:00+00:00,161.02,AAPL
39,2021-11-18 00:00:00+00:00,158.67,AAPL
40,2021-11-17 00:00:00+00:00,155.0,AAPL
41,2021-11-16 00:00:00+00:00,151.49,AAPL
42,2021-11-15 00:00:00+00:00,151.88,AAPL
43,2021-11-12 00:00:00+00:00,150.4,AAPL
44,2021-11-11 00:00:00+00:00,149.43,AAPL
45,2021-11-10 00:00:00+00:00,150.1297,AAPL
46,2021-11-09 00:00:00+00:00,151.428,AAPL
47,2021-11-08 00:00:00+00:00,151.55,AAPL
48,2021-11-05 00:00:00+00:00,152.2,AAPL
49,2021-11-04 00:00:00+00:00,152.43,AAPL
50,2021-11-03 00:00:00+00:00,151.97,AAPL
51,2021-11-02 00:00:00+00:00,151.57,AAPL
52,2021-11-01 00:00:00+00:00,149.7,AAPL
53,2021-10-29 00:00:00+00:00,149.94,AAPL
54,2021-10-28 00:00:00+00:00,153.165,AAPL
55,2021-10-27 00:00:00+00:00,149.73,AAPL
56,2021-10-26 00:00:00+00:00,150.84,AAPL
57,2021-10-25 00:00:00+00:00,149.37,AAPL
58,2021-10-22 00:00:00+00:00,150.18,AAPL
59,2021-10-21 00:00:00+00:00,149.64,AAPL
60,2021-10-20 00:00:00+00:00,149.7522,AAPL
61,2021-10-19 00:00:00+00:00,149.17,AAPL
62,2021-10-18 00:00:00+00:00,146.84,AAPL
63,2021-10-15 00:00:00+00:00,144.9,AAPL
64,2021-10-14 00:00:00+00:00,143.88,AAPL
65,2021-10-13 00:00:00+00:00,141.4,AAPL
66,2021-10-12 00:00:00+00:00,143.25,AAPL
67,2021-10-11 00:00:00+00:00,144.81,AAPL
68,2021-10-08 00:00:00+00:00,144.18,AAPL
69,2021-10-07 00:00:00+00:00,144.215,AAPL
70,2021-10-06 00:00:00+00:00,142.15,AAPL
71,2021-10-05 00:00:00+00:00,142.24,AAPL
72,2021-10-04 00:00:00+00:00,142.21,AAPL
73,2021-10-01 00:00:00+00:00,142.92,AAPL
74,2021-09-30 00:00:00+00:00,144.378,AAPL
75,2021-09-29 00:00:00+00:00,144.45,AAPL
76,2021-09-28 00:00:00+00:00,144.75,AAPL
77,2021-09-27 00:00:00+00:00,145.95,AAPL
78,2021-09-24 00:00:00+00:00,147.47,AAPL
79,2021-09-23 00:00:00+00:00,147.08,AAPL
80,2021-09-22 00:00:00+00:00,146.43,AAPL
81,2021-09-21 00:00:00+00:00,144.6,AAPL
82,2021-09-20 00:00:00+00:00,144.84,AAPL
83,2021-09-17 00:00:00+00:00,148.82,AAPL
84,2021-09-16 00:00:00+00:00,148.9684,AAPL
85,2021-09-15 00:00:00+00:00,149.44,AAPL
86,2021-09-14 00:00:00+00:00,151.07,AAPL
87,2021-09-13 00:00:00+00:00,151.41,AAPL
88,2021-09-10 00:00:00+00:00,155.48,AAPL
89,2021-09-09 00:00:00+00:00,156.11,AAPL
90,2021-09-08 00:00:00+00:00,157.04,AAPL
91,2021-09-07 00:00:00+00:00,157.26,AAPL
92,2021-09-03 00:00:00+00:00,154.63,AAPL
93,2021-09-02 00:00:00+00:00,154.72,AAPL
94,2021-09-01 00:00:00+00:00,154.98,AAPL
95,2021-08-31 00:00:00+00:00,152.8,AAPL
96,2021-08-30 00:00:00+00:00,153.49,AAPL
97,2021-08-27 00:00:00+00:00,148.75,AAPL
98,2021-08-26 00:00:00+00:00,149.12,AAPL
99,2021-08-25 00:00:00+00:00,150.32,AAPL
100,2021-08-24 00:00:00+00:00,150.86,AAPL
101,2021-08-23 00:00:00+00:00,150.19,AAPL
102,2021-08-20 00:00:00+00:00,148.5,AAPL
103,2021-08-19 00:00:00+00:00,148.0,AAPL
104,2021-08-18 00:00:00+00:00,150.71,AAPL
105,2021-08-17 00:00:00+00:00,151.68,AAPL
106,2021-08-16 00:00:00+00:00,151.13,AAPL
107,2021-08-13 00:00:00+00:00,149.44,AAPL
108,2021-08-12 00:00:00+00:00,149.05,AAPL
109,2021-08-11 00:00:00+00:00,146.718,AAPL
110,2021-08-10 00:00:00+00:00,147.71,AAPL
111,2021-08-09 00:00:00+00:00,146.7,AAPL
112,2021-08-06 00:00:00+00:00,147.11,AAPL
113,2021-08-05 00:00:00+00:00,147.84,AAPL
114,2021-08-04 00:00:00+00:00,147.79,AAPL
115,2021-08-03 00:00:00+00:00,148.04,AAPL
116,2021-08-02 00:00:00+00:00,146.95,AAPL
117,2021-07-30 00:00:00+00:00,146.33,AAPL
118,2021-07-29 00:00:00+00:00,146.47,AAPL
119,2021-07-28 00:00:00+00:00,146.96,AAPL
120,2021-07-27 00:00:00+00:00,149.2,AAPL
121,2021-07-26 00:00:00+00:00,149.83,AAPL
122,2021-07-23 00:00:00+00:00,148.72,AAPL
123,2021-07-22 00:00:00+00:00,148.195,AAPL
124,2021-07-21 00:00:00+00:00,146.13,AAPL
125,2021-07-20 00:00:00+00:00,147.0997,AAPL
126,2021-07-19 00:00:00+00:00,144.07,AAPL
127,2021-07-16 00:00:00+00:00,149.76,AAPL
128,2021-07-15 00:00:00+00:00,150.0,AAPL
129,2021-07-14 00:00:00+00:00,149.57,AAPL
130,2021-07-13 00:00:00+00:00,147.46,AAPL
131,2021-07-12 00:00:00+00:00,146.32,AAPL
132,2021-07-09 00:00:00+00:00,145.65,AAPL
133,2021-07-08 00:00:00+00:00,144.06,AAPL
134,2021-07-07 00:00:00+00:00,144.89,AAPL
135,2021-07-06 00:00:00+00:00,143.15,AAPL
136,2021-07-02 00:00:00+00:00,140.0,AAPL
137,2021-07-01 00:00:00+00:00,137.33,AAPL
138,2021-06-30 00:00:00+00:00,137.4,AAPL
139,2021-06-29 00:00:00+00:00,136.49,AAPL
140,2021-06-28 00:00:00+00:00,135.245,AAPL
141,2021-06-25 00:00:00+00:00,133.89,AAPL
142,2021-06-24 00:00:00+00:00,134.64,AAPL
143,2021-06-23 00:00:00+00:00,134.32,AAPL
144,2021-06-22 00:00:00+00:00,134.08,AAPL
145,2021-06-21 00:00:00+00:00,132.41,AAPL
146,2021-06-18 00:00:00+00:00,131.51,AAPL
147,2021-06-17 00:00:00+00:00,132.55,AAPL
148,2021-06-16 00:00:00+00:00,130.89,AAPL
149,2021-06-15 00:00:00+00:00,130.59,AAPL
150,2021-06-14 00:00:00+00:00,130.49,AAPL
151,2021-06-11 00:00:00+00:00,127.44,AAPL
152,2021-06-10 00:00:00+00:00,128.19,AAPL
153,2021-06-09 00:00:00+00:00,127.75,AAPL
154,2021-06-08 00:00:00+00:00,128.46,AAPL
155,2021-06-07 00:00:00+00:00,126.31,AAPL
156,2021-06-04 00:00:00+00:00,126.16,AAPL
157,2021-06-03 00:00:00+00:00,124.85,AAPL
158,2021-06-02 00:00:00+00:00,125.24,AAPL
159,2021-06-01 00:00:00+00:00,125.35,AAPL
160,2021-05-28 00:00:00+00:00,125.8,AAPL
161,2021-05-27 00:00:00+00:00,127.64,AAPL
162,2021-05-26 00:00:00+00:00,127.39,AAPL
163,2021-05-25 00:00:00+00:00,128.3168,AAPL
164,2021-05-24 00:00:00+00:00,127.935,AAPL
165,2021-05-21 00:00:00+00:00,128.0,AAPL
166,2021-05-20 00:00:00+00:00,127.7156,AAPL
167,2021-05-19 00:00:00+00:00,124.915,AAPL
168,2021-05-18 00:00:00+00:00,126.9878,AAPL
169,2021-05-17 00:00:00+00:00,126.92,AAPL
170,2021-05-14 00:00:00+00:00,127.88,AAPL
171,2021-05-13 00:00:00+00:00,126.15,AAPL
172,2021-05-12 00:00:00+00:00,124.64,AAPL
173,2021-05-11 00:00:00+00:00,126.27,AAPL
174,2021-05-10 00:00:00+00:00,129.54,AAPL
175,2021-05-07 00:00:00+00:00,131.26,AAPL
